Program,Year,Cost_model,Avg_price,Enrollment,Completion_rate,Dropout_rate,Job_placement_rate,Avg_income_post_training,Training_duration_month,Delivery_mode,Region,Local_job_demand,Remote_job_demand,Total_job_demand,Talent_output,Employed_talent,Unemployed_talent,Total_revenue
ALX,2025,Free,0,6977,0.88,0.07,0.35,395617,10,Hybrid,North Central,1551,6344,7895,6139,2148,3991,0
HNG,2024,Subsidized,72151,37324,0.87,0.18,0.7,269933,10,Hybrid,North Central,3962,6514,10476,32471,22729,9742,2692963924
HNG,2024,Free,0,26526,0.42,0.62,0.35,130971,3,Online,South East,1442,5760,7202,11140,3898,7242,0
ALX,2025,Paid,186126,31451,0.73,0.28,0.31,142712,3,Hybrid,North West,3069,1103,4172,22959,7117,15842,5853848826
HNG,2025,Paid,446717,27552,0.52,0.44,0.39,203246,3,Hybrid,North East,2138,3060,5198,14327,5587,8740,12307946784
HNG,2024,Paid,170219,40384,0.54,0.44,0.69,380340,11,Hybrid,South West,4569,6900,11469,21807,15046,6761,6874124096
3MTT,2022,Paid,352842,44394,0.71,0.24,0.4,266443,8,Hybrid,South East,2079,898,2977,31519,12607,18912,15664067748
3MTT,2024,Paid,487324,5796,0.88,0.16,0.63,294183,7,Online,South West,1466,1219,2685,5100,3213,1887,2824529904
HNG,2023,Paid,120923,9376,0.47,0.5,0.77,335719,6,Online,North Central,2212,5965,8177,4406,3392,1014,1133774048
ALX,2024,Paid,262730,49502,0.61,0.38,0.6,217046,2,Online,North Central,1982,5108,7090,30196,18117,12079,13005660460
HNG,2025,Paid,325959,37798,0.58,0.45,0.58,312069,10,Online,South South,2680,7457,10137,21922,12714,9208,12320598282
3MTT,2022,Free,0,15178,0.56,0.48,0.33,284827,10,Hybrid,North Central,4253,1721,5974,8499,2804,5695,0
3MTT,2023,Paid,205468,19481,0.45,0.53,0.35,322434,8,Online,North West,1348,3935,5283,8766,3068,5698,4002722108
ALX,2023,Free,0,7536,0.46,0.52,0.62,182552,2,Hybrid,South West,4686,3753,8439,3466,2148,1318,0
3MTT,2025,Subsidized,85756,47494,0.8,0.21,0.45,107464,2,Hybrid,North West,4676,3177,7853,37995,17097,20898,4072895464
ALX,2023,Subsidized,60581,35336,0.61,0.4,0.34,164518,11,Hybrid,South West,2140,7099,9239,21554,7328,14226,2140690216
HNG,2025,Free,0,30524,0.7,0.29,0.73,388360,11,Hybrid,North Central,371,342,713,21366,15597,5769,0
ALX,2022,Free,0,31466,0.73,0.3,0.74,247516,5,Hybrid,South South,3360,5414,8774,22970,16997,5973,0
3MTT,2025,Paid,214159,45746,0.52,0.52,0.43,380642,6,Online,North East,1287,4671,5958,23787,10228,13559,9796917614
3MTT,2025,Free,0,30269,0.86,0.09,0.56,335733,9,Hybrid,South South,1274,3940,5214,26031,14577,11454,0
HNG,2023,Paid,348004,20970,0.48,0.49,0.46,177462,2,Online,North East,3184,5953,9137,10065,4629,5436,7297643880
ALX,2025,Subsidized,48022,2105,0.58,0.38,0.4,226259,6,Online,South West,1950,7299,9249,1220,488,732,101086310
ALX,2023,Paid,119773,4739,0.81,0.22,0.7,81515,8,Online,South West,3017,5931,8948,3838,2686,1152,567604247
ALX,2023,Paid,126928,33228,0.85,0.13,0.71,116561,5,Online,North East,1396,3974,5370,28243,20052,8191,4217563584
3MTT,2022,Paid,328506,16381,0.78,0.18,0.65,327941,10,Online,North Central,2478,7905,10383,12777,8305,4472,5381256786
ALX,2024,Subsidized,33386,6721,0.62,0.34,0.64,196582,9,Online,South East,3283,3997,7280,4167,2666,1501,224387306
ALX,2024,Free,0,26720,0.75,0.27,0.64,272898,7,Online,North West,1854,663,2517,20040,12825,7215,0
HNG,2024,Paid,382152,46702,0.82,0.18,0.39,282211,6,Online,North West,482,2456,2938,38295,14935,23360,17847262704
ALX,2025,Free,0,43043,0.81,0.21,0.35,251277,2,Hybrid,South East,1173,7869,9042,34864,12202,22662,0
HNG,2023,Paid,377530,39682,0.83,0.14,0.65,258734,10,Hybrid,South South,2051,1479,3530,32936,21408,11528,14981145460
HNG,2025,Free,0,23808,0.89,0.1,0.48,234721,3,Hybrid,South South,4098,3975,8073,21189,10170,11019,0
3MTT,2022,Subsidized,73639,48974,0.52,0.44,0.63,206519,5,Online,South South,4952,1245,6197,25466,16043,9423,3606396386
ALX,2022,Subsidized,39065,36467,0.61,0.39,0.43,248065,5,Online,North East,961,7757,8718,22244,9564,12680,1424583355
3MTT,2024,Free,0,23352,0.53,0.42,0.49,159335,10,Online,North East,364,2859,3223,12376,6064,6312,0
HNG,2025,Subsidized,76597,35989,0.48,0.48,0.33,209553,8,Online,North Central,612,415,1027,17274,5700,11574,2756649433
3MTT,2023,Paid,396618,43566,0.71,0.31,0.36,371043,7,Hybrid,North East,3021,4767,7788,30931,11135,19796,17279059788
3MTT,2022,Subsidized,91792,728,0.74,0.29,0.74,375830,7,Online,South West,2909,5161,8070,538,398,140,66824576
HNG,2025,Paid,462566,6891,0.56,0.45,0.44,206457,2,Hybrid,South West,3988,251,4239,3858,1697,2161,3187542306
HNG,2024,Free,0,35789,0.57,0.38,0.5,136754,9,Online,South West,3299,2779,6078,20399,10199,10200,0
ALX,2023,Free,0,49321,0.52,0.45,0.33,314453,10,Online,South East,710,4869,5579,25646,8463,17183,0
HNG,2022,Subsidized,98282,44743,0.8,0.22,0.57,217152,3,Online,North East,4468,1517,5985,35794,20402,15392,4397431526
HNG,2024,Free,0,1730,0.79,0.17,0.62,366610,10,Hybrid,North East,3285,2116,5401,1366,846,520,0
3MTT,2025,Free,0,36025,0.44,0.61,0.42,192564,7,Hybrid,North East,2995,7331,10326,15851,6657,9194,0
3MTT,2025,Subsidized,52016,12462,0.84,0.13,0.44,200654,3,Hybrid,South South,2599,5525,8124,10468,4605,5863,648223392
HNG,2025,Paid,350463,35974,0.75,0.22,0.52,311237,7,Hybrid,North Central,228,637,865,26980,14029,12951,12607555962
ALX,2022,Subsidized,78565,31430,0.59,0.4,0.32,347673,8,Online,South East,126,7137,7263,18543,5933,12610,2469297950
3MTT,2024,Free,0,25642,0.6,0.44,0.37,290809,2,Hybrid,South West,3891,1557,5448,15385,5692,9693,0
3MTT,2023,Paid,213218,35728,0.47,0.57,0.76,156290,11,Hybrid,North East,3214,2126,5340,16792,12761,4031,7617852704
3MTT,2022,Free,0,18087,0.72,0.27,0.37,215393,5,Online,South West,3268,2321,5589,13022,4818,8204,0
ALX,2024,Paid,499017,14630,0.72,0.29,0.65,223933,2,Hybrid,South West,2334,4793,7127,10533,6846,3687,7300618710
HNG,2023,Paid,450321,7866,0.61,0.36,0.51,128639,11,Online,North West,2221,2784,5005,4798,2446,2352,3542224986
3MTT,2025,Paid,250644,4636,0.44,0.52,0.45,242448,9,Online,North Central,3301,5671,8972,2039,917,1122,1161985584
3MTT,2025,Subsidized,59895,4220,0.57,0.39,0.59,171229,9,Hybrid,North West,1464,2908,4372,2405,1418,987,252756900
HNG,2024,Free,0,33419,0.44,0.6,0.66,386899,6,Online,North East,1652,2320,3972,14704,9704,5000,0
HNG,2022,Free,0,9426,0.4,0.6,0.59,233706,10,Online,North West,1096,2494,3590,3770,2224,1546,0
ALX,2023,Subsidized,33016,42637,0.57,0.48,0.52,229172,4,Hybrid,North Central,2957,986,3943,24303,12637,11666,1407703192
3MTT,2025,Free,0,48191,0.81,0.17,0.52,301849,4,Hybrid,South East,3801,6094,9895,39034,20297,18737,0
HNG,2023,Free,0,14641,0.62,0.33,0.33,145679,11,Hybrid,South South,4682,5155,9837,9077,2995,6082,0
HNG,2025,Paid,142317,48414,0.46,0.55,0.54,132344,5,Online,North West,167,4036,4203,22270,12025,10245,6890135238
HNG,2024,Subsidized,69549,12049,0.55,0.5,0.57,100045,9,Hybrid,North East,2895,2529,5424,6626,3776,2850,837995901
3MTT,2025,Subsidized,78446,48394,0.59,0.37,0.67,212371,4,Online,South East,3979,7689,11668,28552,19129,9423,3796315724
HNG,2025,Paid,479553,12319,0.72,0.24,0.75,83089,5,Online,South West,3222,5390,8612,8869,6651,2218,5907613407
ALX,2023,Paid,475348,23384,0.79,0.24,0.39,289087,4,Hybrid,South South,634,1916,2550,18473,7204,11269,11115537632
3MTT,2022,Paid,289826,22969,0.51,0.44,0.46,304522,7,Hybrid,North East,571,3140,3711,11714,5388,6326,6657013394
ALX,2024,Subsidized,44054,30209,0.75,0.22,0.35,125689,2,Online,North West,3105,4006,7111,22656,7929,14727,1330827286
ALX,2022,Paid,225865,46976,0.75,0.27,0.75,271313,6,Online,North East,3183,5400,8583,35232,26424,8808,10610234240
HNG,2023,Subsidized,49063,5232,0.73,0.28,0.6,250824,3,Hybrid,North East,1774,2883,4657,3819,2291,1528,256697616
3MTT,2025,Subsidized,49140,9827,0.49,0.47,0.52,269167,7,Hybrid,South South,953,3932,4885,4815,2503,2312,482898780
HNG,2023,Paid,262007,7498,0.65,0.33,0.67,350012,7,Hybrid,North East,1569,577,2146,4873,3264,1609,1964528486
HNG,2022,Paid,370577,48921,0.64,0.32,0.79,363895,7,Online,North Central,2186,2207,4393,31309,24734,6575,18128997417
3MTT,2024,Subsidized,44503,3279,0.45,0.58,0.42,131482,11,Hybrid,North Central,3965,224,4189,1475,619,856,145925337
ALX,2024,Subsidized,61139,49883,0.82,0.14,0.32,224615,2,Online,North East,4725,7030,11755,40904,13089,27815,3049796737
3MTT,2022,Subsidized,77939,21414,0.69,0.32,0.47,217799,6,Hybrid,South East,276,338,614,14775,6944,7831,1668985746
HNG,2023,Subsidized,47689,11654,0.74,0.24,0.4,388474,7,Hybrid,North Central,2287,5087,7374,8623,3449,5174,555767606
HNG,2022,Free,0,35195,0.49,0.51,0.38,238901,4,Online,North West,2763,3138,5901,17245,6553,10692,0
HNG,2023,Paid,496875,28094,0.77,0.23,0.73,93569,6,Online,North East,3259,5523,8782,21632,15791,5841,13959206250
ALX,2025,Subsidized,44904,44290,0.84,0.17,0.75,363816,6,Hybrid,North East,754,5681,6435,37203,27902,9301,1988798160
ALX,2024,Paid,370590,22146,0.49,0.54,0.54,272537,6,Online,South South,1108,4514,5622,10851,5859,4992,8207086140
ALX,2025,Free,0,35950,0.5,0.53,0.51,136116,11,Online,South East,4552,455,5007,17975,9167,8808,0
3MTT,2025,Free,0,11263,0.6,0.41,0.61,162018,6,Hybrid,South West,1968,6958,8926,6757,4121,2636,0
HNG,2022,Subsidized,22637,7742,0.87,0.11,0.47,91831,10,Hybrid,South South,867,6650,7517,6735,3165,3570,175255654
HNG,2024,Free,0,33922,0.77,0.19,0.49,297394,11,Hybrid,South West,2151,7206,9357,26119,12798,13321,0
HNG,2025,Free,0,19903,0.52,0.49,0.62,253364,3,Online,North West,3234,5952,9186,10349,6416,3933,0
ALX,2023,Free,0,35265,0.6,0.41,0.52,339278,11,Hybrid,South East,3240,1065,4305,21159,11002,10157,0
HNG,2022,Paid,299519,19299,0.88,0.16,0.59,120870,11,Online,South West,1018,1373,2391,16983,10019,6964,5780417181
3MTT,2024,Free,0,1335,0.65,0.3,0.65,213501,9,Hybrid,North West,4122,3999,8121,867,563,304,0
3MTT,2025,Subsidized,55919,31916,0.8,0.24,0.53,126015,5,Online,South West,3164,953,4117,25532,13531,12001,1784710804
ALX,2025,Free,0,25663,0.67,0.32,0.74,144926,11,Online,South West,4120,3355,7475,17194,12723,4471,0
ALX,2024,Free,0,40328,0.55,0.45,0.73,399532,3,Hybrid,South West,2567,1067,3634,22180,16191,5989,0
ALX,2022,Paid,193944,7071,0.44,0.55,0.71,346294,11,Hybrid,North East,4144,4526,8670,3111,2208,903,1371378024
3MTT,2023,Subsidized,99369,1881,0.58,0.44,0.56,138560,2,Online,South West,184,5349,5533,1090,610,480,186913089
3MTT,2022,Free,0,1668,0.79,0.17,0.53,345660,9,Hybrid,North West,2294,3755,6049,1317,698,619,0
HNG,2022,Free,0,14657,0.7,0.31,0.7,314873,11,Online,South West,1948,5192,7140,10259,7181,3078,0
ALX,2023,Paid,441524,4675,0.88,0.12,0.53,113461,10,Hybrid,South South,1912,5849,7761,4114,2180,1934,2064124700
ALX,2023,Free,0,6224,0.81,0.21,0.59,230953,6,Online,North Central,651,3594,4245,5041,2974,2067,0
3MTT,2024,Free,0,34265,0.43,0.53,0.36,305121,6,Hybrid,South West,472,7316,7788,14733,5303,9430,0
3MTT,2024,Free,0,17732,0.71,0.33,0.64,383806,11,Hybrid,North West,2476,1240,3716,12589,8056,4533,0
ALX,2024,Subsidized,82013,31831,0.77,0.2,0.73,220021,8,Online,South East,4624,3659,8283,24509,17891,6618,2610555803
HNG,2022,Free,0,8337,0.65,0.36,0.41,182413,6,Hybrid,North East,822,979,1801,5419,2221,3198,0
HNG,2022,Subsidized,41120,20290,0.41,0.56,0.32,200507,4,Hybrid,North West,1199,3592,4791,8318,2661,5657,834324800
3MTT,2022,Free,0,7284,0.52,0.44,0.39,321766,7,Hybrid,South West,778,6264,7042,3787,1476,2311,0
3MTT,2023,Subsidized,87038,22165,0.59,0.37,0.53,381566,10,Online,North Central,1378,5498,6876,13077,6930,6147,1929197270
ALX,2023,Free,0,38785,0.57,0.47,0.78,398667,3,Online,South West,1273,3430,4703,22107,17243,4864,0
ALX,2025,Free,0,27801,0.45,0.58,0.37,347614,11,Online,South East,4373,3057,7430,12510,4628,7882,0
HNG,2025,Paid,393313,46141,0.66,0.35,0.69,113085,10,Online,North West,2142,4798,6940,30453,21012,9441,18147855133
ALX,2024,Subsidized,53477,49125,0.7,0.32,0.41,377515,7,Hybrid,South South,2361,4369,6730,34387,14098,20289,2627057625
ALX,2024,Free,0,47098,0.53,0.51,0.34,217815,2,Hybrid,South West,424,5287,5711,24961,8486,16475,0
HNG,2022,Paid,260020,11275,0.83,0.21,0.51,336323,10,Online,South West,1602,3327,4929,9358,4772,4586,2931725500
3MTT,2025,Free,0,3895,0.77,0.18,0.62,93731,9,Online,North West,1972,2224,4196,2999,1859,1140,0
HNG,2022,Free,0,12967,0.51,0.46,0.73,155118,8,Online,North West,3615,4737,8352,6613,4827,1786,0
3MTT,2025,Paid,373958,34304,0.51,0.51,0.6,335095,11,Online,North Central,4057,3607,7664,17495,10497,6998,12828255232
3MTT,2024,Paid,480791,25592,0.66,0.36,0.39,106505,11,Hybrid,North East,3883,2790,6673,16890,6587,10303,12304403272
ALX,2022,Paid,349836,38453,0.86,0.1,0.63,299057,10,Hybrid,North Central,2473,4190,6663,33069,20833,12236,13452243708
ALX,2023,Subsidized,70341,19573,0.85,0.16,0.52,340464,9,Online,North Central,3961,5945,9906,16637,8651,7986,1376784393
ALX,2022,Paid,168369,5785,0.44,0.6,0.55,203711,11,Online,North East,2835,5619,8454,2545,1399,1146,974014665
HNG,2024,Free,0,27139,0.45,0.51,0.74,360460,10,Hybrid,North West,3546,5411,8957,12212,9036,3176,0
3MTT,2024,Free,0,19591,0.71,0.25,0.36,137241,8,Hybrid,South South,3358,2797,6155,13909,5007,8902,0
3MTT,2024,Subsidized,56404,33491,0.76,0.2,0.67,399836,7,Online,North East,2326,7406,9732,25453,17053,8400,1889026364
HNG,2024,Free,0,35687,0.73,0.32,0.34,333478,7,Hybrid,North East,4142,5430,9572,26051,8857,17194,0
HNG,2024,Free,0,25522,0.46,0.56,0.79,267877,5,Online,North West,4069,4505,8574,11740,9274,2466,0
HNG,2025,Free,0,36275,0.81,0.23,0.53,181489,5,Hybrid,South South,148,3766,3914,29382,15572,13810,0
HNG,2025,Free,0,34237,0.73,0.3,0.67,386521,7,Online,South East,1707,7628,9335,24993,16745,8248,0
HNG,2024,Paid,109472,4227,0.7,0.34,0.75,351223,8,Online,South South,537,2402,2939,2958,2218,740,462738144
HNG,2023,Subsidized,48477,25070,0.47,0.57,0.48,223988,8,Hybrid,South West,299,4666,4965,11782,5655,6127,1215318390
HNG,2024,Free,0,42931,0.76,0.24,0.6,269937,10,Online,North Central,3442,7973,11415,32627,19576,13051,0
HNG,2023,Free,0,21481,0.49,0.48,0.39,261062,8,Online,South South,947,4909,5856,10525,4104,6421,0
HNG,2024,Subsidized,96000,49132,0.57,0.44,0.44,360092,4,Online,North West,3391,3087,6478,28005,12322,15683,4716672000
ALX,2022,Free,0,7197,0.5,0.49,0.36,197569,10,Online,South South,3070,1352,4422,3598,1295,2303,0
ALX,2023,Subsidized,57528,13936,0.81,0.2,0.61,209529,3,Online,North East,2351,4957,7308,11288,6885,4403,801710208
3MTT,2025,Paid,109583,23604,0.41,0.58,0.32,346285,8,Online,South West,1936,3092,5028,9677,3096,6581,2586597132
3MTT,2025,Paid,105577,20502,0.89,0.08,0.4,329402,2,Online,South West,1394,7104,8498,18246,7298,10948,2164539654
HNG,2024,Free,0,24898,0.65,0.39,0.76,143884,11,Online,North East,1605,1326,2931,16183,12299,3884,0
3MTT,2023,Subsidized,34650,46618,0.86,0.12,0.75,227631,3,Online,South East,4471,2745,7216,40091,30068,10023,1615313700
3MTT,2025,Free,0,20143,0.49,0.49,0.35,376952,8,Online,North East,2742,1800,4542,9870,3454,6416,0
3MTT,2025,Paid,406709,20683,0.72,0.25,0.35,188835,5,Online,North East,1587,5209,6796,14891,5211,9680,8411962247
HNG,2023,Free,0,47191,0.74,0.27,0.43,363445,11,Online,North Central,4866,5562,10428,34921,15016,19905,0
3MTT,2024,Subsidized,75856,49752,0.49,0.46,0.53,101602,11,Online,North East,2642,7290,9932,24378,12920,11458,3773987712
HNG,2024,Free,0,46702,0.86,0.13,0.62,169846,4,Online,North Central,605,1329,1934,40163,24901,15262,0
HNG,2024,Free,0,13600,0.52,0.49,0.54,307336,10,Online,South South,2609,5216,7825,7072,3818,3254,0
ALX,2023,Subsidized,83644,15170,0.59,0.42,0.37,103723,8,Hybrid,North West,1393,2122,3515,8950,3311,5639,1268879480
ALX,2023,Subsidized,65929,35417,0.41,0.63,0.43,103525,5,Online,South West,4036,1315,5351,14520,6243,8277,2335007393
3MTT,2025,Subsidized,42763,10616,0.47,0.58,0.78,220319,2,Hybrid,North West,641,2361,3002,4989,3891,1098,453972008
3MTT,2024,Subsidized,67356,12561,0.45,0.54,0.51,232131,10,Online,South South,2822,2558,5380,5652,2882,2770,846058716
ALX,2022,Subsidized,21468,24809,0.43,0.53,0.59,305409,3,Online,South West,157,1329,1486,10667,6293,4374,532599612
HNG,2025,Paid,480286,43468,0.78,0.22,0.36,120502,4,Online,North West,2173,512,2685,33905,12205,21700,20877071848
HNG,2025,Free,0,17694,0.6,0.44,0.71,322113,8,Hybrid,North East,2805,796,3601,10616,7537,3079,0
HNG,2025,Subsidized,81108,41134,0.62,0.36,0.39,219805,9,Hybrid,North Central,3026,1552,4578,25503,9946,15557,3336296472
ALX,2025,Free,0,9990,0.6,0.43,0.37,398166,9,Hybrid,North East,801,7450,8251,5994,2217,3777,0
HNG,2023,Free,0,12954,0.77,0.19,0.74,186080,8,Online,North East,4035,4819,8854,9974,7380,2594,0
3MTT,2023,Free,0,8356,0.61,0.37,0.73,298976,3,Hybrid,South South,897,3415,4312,5097,3720,1377,0
3MTT,2024,Free,0,20621,0.62,0.34,0.45,348933,3,Hybrid,North East,3387,4953,8340,12785,5753,7032,0
ALX,2022,Subsidized,83248,35050,0.51,0.47,0.72,357749,7,Hybrid,South East,1222,4181,5403,17875,12870,5005,2917842400
HNG,2024,Paid,477775,30299,0.45,0.56,0.52,212596,8,Online,North Central,178,3323,3501,13634,7089,6545,14476104725
HNG,2022,Free,0,8917,0.76,0.23,0.56,211049,9,Online,South West,2906,7799,10705,6776,3794,2982,0
3MTT,2024,Paid,250737,5210,0.55,0.5,0.78,112888,5,Online,North Central,3775,5894,9669,2865,2234,631,1306339770
3MTT,2023,Free,0,12060,0.57,0.4,0.79,375267,8,Hybrid,South West,128,5226,5354,6874,5430,1444,0
HNG,2024,Paid,409801,2524,0.41,0.63,0.78,155839,4,Hybrid,North East,2313,7910,10223,1034,806,228,1034337724
ALX,2025,Subsidized,46140,12531,0.71,0.24,0.61,392712,7,Online,South South,4956,5128,10084,8897,5427,3470,578180340
3MTT,2024,Subsidized,88607,17439,0.64,0.4,0.75,142119,11,Hybrid,North West,175,4526,4701,11160,8370,2790,1545217473
HNG,2025,Subsidized,39157,35530,0.83,0.15,0.78,318178,2,Hybrid,North Central,3777,7541,11318,29489,23001,6488,1391248210
3MTT,2024,Paid,386218,46922,0.53,0.49,0.31,398465,8,Online,South South,1512,2939,4451,24868,7709,17159,18122120996
3MTT,2022,Free,0,30215,0.65,0.31,0.64,280065,10,Hybrid,North East,553,1904,2457,19639,12568,7071,0
3MTT,2024,Free,0,49140,0.49,0.55,0.61,297912,4,Online,South East,3777,6604,10381,24078,14687,9391,0
HNG,2023,Paid,207724,5292,0.8,0.23,0.79,245278,6,Hybrid,South West,2363,2169,4532,4233,3344,889,1099275408
HNG,2025,Free,0,8669,0.83,0.13,0.35,80727,10,Hybrid,North East,2837,5908,8745,7195,2518,4677,0
ALX,2025,Subsidized,54318,9495,0.45,0.53,0.46,169367,3,Online,North East,4711,3361,8072,4272,1965,2307,515749410
3MTT,2025,Paid,321711,28374,0.48,0.54,0.68,175310,2,Online,North Central,500,7646,8146,13619,9260,4359,9128227914
3MTT,2024,Free,0,35501,0.67,0.32,0.72,349670,9,Online,North East,1873,7144,9017,23785,17125,6660,0
ALX,2025,Subsidized,70248,9620,0.87,0.15,0.76,174533,4,Hybrid,South South,2693,795,3488,8369,6360,2009,675785760
3MTT,2025,Subsidized,82665,21323,0.87,0.11,0.38,124912,8,Hybrid,North West,2163,1647,3810,18551,7049,11502,1762665795
HNG,2025,Paid,259472,12453,0.56,0.42,0.39,84055,5,Online,North East,1772,3875,5647,6973,2719,4254,3231204816
3MTT,2022,Subsidized,98082,27079,0.79,0.19,0.58,179525,3,Online,South South,1244,6849,8093,21392,12407,8985,2655962478
HNG,2024,Subsidized,69111,24366,0.85,0.11,0.39,205695,11,Hybrid,South South,4030,2272,6302,20711,8077,12634,1683958626
ALX,2025,Subsidized,46393,23254,0.89,0.09,0.64,173650,6,Hybrid,North West,2082,4070,6152,20696,13245,7451,1078822822
3MTT,2025,Paid,454403,13386,0.46,0.55,0.63,205604,3,Online,North East,3535,3401,6936,6157,3878,2279,6082638558
ALX,2025,Subsidized,72389,33326,0.8,0.2,0.48,88314,9,Online,North West,3400,3545,6945,26660,12796,13864,2412435814
ALX,2023,Subsidized,40365,39529,0.6,0.45,0.39,238571,4,Online,South West,174,494,668,23717,9249,14468,1595588085
3MTT,2022,Subsidized,31434,38598,0.73,0.27,0.76,359702,6,Hybrid,South East,945,2191,3136,28176,21413,6763,1213289532
3MTT,2022,Paid,177924,29832,0.47,0.49,0.61,363135,2,Online,North East,1641,6557,8198,14021,8552,5469,5307828768
HNG,2024,Free,0,35125,0.56,0.45,0.41,229725,2,Hybrid,South West,3433,7650,11083,19670,8064,11606,0
HNG,2025,Free,0,20843,0.72,0.31,0.77,221002,7,Hybrid,North Central,2421,755,3176,15006,11554,3452,0
3MTT,2024,Paid,359990,43464,0.86,0.16,0.35,208041,3,Hybrid,North East,3903,2527,6430,37379,13082,24297,15646605360
HNG,2023,Free,0,39720,0.6,0.39,0.69,380336,3,Hybrid,North East,4933,3278,8211,23832,16444,7388,0
ALX,2025,Paid,197469,47450,0.45,0.56,0.36,262225,10,Online,South West,4863,1420,6283,21352,7686,13666,9369904050
ALX,2025,Paid,277129,13037,0.82,0.19,0.63,80834,8,Online,South South,2513,1513,4026,10690,6734,3956,3612930773
HNG,2024,Subsidized,88104,42598,0.7,0.27,0.7,159731,10,Online,North West,1314,4619,5933,29818,20872,8946,3753054192
ALX,2024,Paid,264052,2158,0.82,0.15,0.36,216213,4,Online,North Central,4965,7059,12024,1769,636,1133,569824216
HNG,2023,Paid,123290,47515,0.85,0.19,0.64,399233,2,Hybrid,North East,335,4478,4813,40387,25847,14540,5858124350
3MTT,2023,Free,0,29794,0.82,0.18,0.7,364928,5,Online,South West,1923,7052,8975,24431,17101,7330,0
3MTT,2023,Free,0,24661,0.55,0.47,0.78,160308,7,Hybrid,North East,1404,7690,9094,13563,10579,2984,0
HNG,2024,Subsidized,61111,33237,0.56,0.47,0.52,239978,4,Online,South West,4233,1359,5592,18612,9678,8934,2031146307
HNG,2022,Paid,468987,2331,0.58,0.43,0.72,393651,7,Hybrid,South South,1924,2691,4615,1351,972,379,1093208697
3MTT,2022,Free,0,33672,0.56,0.4,0.64,110348,2,Hybrid,North Central,1515,3793,5308,18856,12067,6789,0
3MTT,2022,Free,0,35510,0.74,0.3,0.42,242008,7,Hybrid,South South,2365,3989,6354,26277,11036,15241,0
ALX,2025,Free,0,37419,0.78,0.26,0.63,177459,7,Online,South East,3818,221,4039,29186,18387,10799,0
3MTT,2024,Free,0,4141,0.75,0.2,0.56,307967,8,Online,North East,2721,4535,7256,3105,1738,1367,0
HNG,2025,Free,0,13141,0.87,0.15,0.33,197399,2,Hybrid,South South,2562,1316,3878,11432,3772,7660,0
HNG,2025,Paid,281902,41682,0.65,0.31,0.76,355478,9,Hybrid,South West,764,1556,2320,27093,20590,6503,11750239164
ALX,2022,Free,0,17938,0.87,0.09,0.35,178971,10,Online,North West,4170,7182,11352,15606,5462,10144,0
HNG,2025,Paid,145117,26208,0.53,0.5,0.51,309767,2,Hybrid,North West,2484,1009,3493,13890,7083,6807,3803226336
HNG,2023,Paid,369039,24458,0.86,0.13,0.57,170365,3,Hybrid,North Central,1331,7898,9229,21033,11988,9045,9025955862
HNG,2023,Free,0,36176,0.87,0.08,0.48,99787,8,Online,North Central,2058,4209,6267,31473,15107,16366,0
3MTT,2024,Subsidized,37358,17107,0.53,0.51,0.37,260449,7,Hybrid,South West,1441,4236,5677,9066,3354,5712,639083306
HNG,2025,Free,0,31315,0.65,0.32,0.67,375305,9,Online,South East,1624,803,2427,20354,13637,6717,0
HNG,2024,Free,0,48252,0.88,0.16,0.65,204693,9,Online,South East,2838,1557,4395,42461,27599,14862,0
ALX,2022,Subsidized,93889,16190,0.71,0.28,0.44,245803,3,Hybrid,North East,3161,6661,9822,11494,5057,6437,1520062910
ALX,2023,Paid,411256,11440,0.6,0.35,0.47,362751,2,Online,North East,4707,4185,8892,6864,3226,3638,4704768640
3MTT,2025,Paid,292317,19108,0.78,0.24,0.71,332773,7,Online,North Central,4897,886,5783,14904,10581,4323,5585593236
HNG,2025,Free,0,42331,0.66,0.3,0.6,385745,6,Online,North West,2450,4557,7007,27938,16762,11176,0
HNG,2025,Paid,338886,42995,0.76,0.25,0.45,293869,8,Online,North Central,3847,3036,6883,32676,14704,17972,14570403570
3MTT,2025,Paid,452792,31098,0.51,0.52,0.4,264087,10,Hybrid,North West,4642,3723,8365,15859,6343,9516,14080925616
3MTT,2022,Paid,401033,45466,0.5,0.54,0.32,321482,3,Online,North Central,1669,2094,3763,22733,7274,15459,18233366378
ALX,2022,Subsidized,45596,10755,0.74,0.3,0.66,247442,8,Hybrid,South South,3468,3781,7249,7958,5252,2706,490384980
ALX,2025,Subsidized,36956,40973,0.44,0.54,0.63,357354,8,Hybrid,North West,2471,1921,4392,18028,11357,6671,1514198188
HNG,2022,Free,0,40209,0.65,0.31,0.58,197265,11,Hybrid,North West,580,6792,7372,26135,15158,10977,0
3MTT,2022,Free,0,32950,0.78,0.24,0.48,141293,5,Online,North East,697,1732,2429,25701,12336,13365,0
3MTT,2023,Paid,445941,45432,0.49,0.54,0.36,102995,2,Hybrid,South East,248,1269,1517,22261,8013,14248,20259991512
HNG,2025,Free,0,35023,0.86,0.14,0.63,87233,7,Hybrid,North East,4149,5981,10130,30119,18974,11145,0
HNG,2022,Paid,208684,29901,0.52,0.47,0.39,300994,4,Online,North Central,1729,1194,2923,15548,6063,9485,6239860284
ALX,2023,Free,0,36254,0.69,0.31,0.6,344019,10,Online,North East,4397,1553,5950,25015,15009,10006,0
